insert_time,xpath,datatype,group_lv1,group_lv2,sub_xpath,value
202207142000,div[3]/div/div[4]/ul/li/a/img,src,div[3]/div/div[4],div[3]/div/div[4]/ul/li,/a/img,https://im2.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/ADbanner/2022/06/Taiwan/19065.jpg&v=62bbfa7ek&w=&h=
202207142000,div[3]/div/div[4]/ul/li/a/img,title,div[3]/div/div[4],div[3]/div/div[4]/ul/li,/a/img,
202207142000,div[3]/div/div[4]/ul/li[2]/a,href,div[3]/div/div[4],div[3]/div/div[4]/ul/li[2],/a,https://activity.books.com.tw/crosscat/show/A00000051570?loc=dbanner_002
202207142000,div[3]/div/div[4]/ul/li[2]/a,text,div[3]/div/div[4],div[3]/div/div[4]/ul/li[2],/a,
202207142000,div[3]/div/div[4]/ul/li[2]/a/img,alt,div[3]/div/div[4],div[3]/div/div[4]/ul/li[2],/a/img,
202207142000,div[3]/div/div[4]/ul/li[2]/a/img,src,div[3]/div/div[4],div[3]/div/div[4]/ul/li[2],/a/img,https://im1.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/ADbanner/2022/06/BN-190x65px.jpg&v=62b118f6k&w=&h=
202207142000,div[3]/div/div[4]/ul/li[2]/a/img,title,div[3]/div/div[4],div[3]/div/div[4]/ul/li[2],/a/img,
202207142000,div[3]/div/div[5]/p/span,class,div[3]/div/div[5],,p/span,icon
202207142000,div[3]/div/div[5]/p/span,text,div[3]/div/div[5],,p/span,客服公告：
202207142000,div[3]/div/div[5]/p/span[2]/a,href,div[3]/div/div[5],,p/span[2]/a,https://www.books.com.tw/my_account/books_message1.html?loc=qainfo_001&loc=qainfo_001
202207142000,div[3]/div/div[5]/p/span[2]/a,innerHTML,div[3]/div/div[5],,p/span[2]/a,詳情
202207142000,div[3]/div/div[5]/p/span[2]/a,text,div[3]/div/div[5],,p/span[2]/a,詳情
202207142000,div[3]/div/div[5]/ul/li/a,href,div[3]/div/div[5],div[3]/div/div[5]/ul/li,/a,https://activity.books.com.tw/crosscat/show/A00000014033/?loc=activity_home_001
202207142000,div[3]/div/div[5]/ul/li/a,text,div[3]/div/div[5],div[3]/div/div[5]/ul/li,/a,
202207142000,div[3]/div/div[5]/ul/li/a/img,alt,div[3]/div/div[5],div[3]/div/div[5]/ul/li,/a/img,
202207142000,div[3]/div/div[5]/ul/li/a/img,src,div[3]/div/div[5],div[3]/div/div[5]/ul/li,/a/img,https://im2.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/ADbanner/marketing/2022/02/gbt/gbt01.jpg&v=61ee0e48k&w=&h=
202207142000,div[3]/div/div[5]/ul/li/a/img,title,div[3]/div/div[5],div[3]/div/div[5]/ul/li,/a/img,
202207142000,div[3]/div/div[5]/ul/li[2]/a,href,div[3]/div/div[5],div[3]/div/div[5]/ul/li[2],/a,https://www.books.com.tw/web/ticket/?loc=activity_home_002
202207142000,div[3]/div/div[5]/ul/li[2]/a,text,div[3]/div/div[5],div[3]/div/div[5]/ul/li[2],/a,
202207142000,div[3]/div/div[5]/ul/li[2]/a/img,alt,div[3]/div/div[5],div[3]/div/div[5]/ul/li[2],/a/img,電子票券
202207142000,div[3]/div/div[5]/ul/li[2]/a/img,src,div[3]/div/div[5],div[3]/div/div[5]/ul/li[2],/a/img,https://im1.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/ADbanner/marketing/2022/04/gbt/gbt_0411_ticket.gif&v=6253e890k&w=&h=
202207142000,div[3]/div/div[5]/ul/li[2]/a/img,title,div[3]/div/div[5],div[3]/div/div[5]/ul/li[2],/a/img,
202207142000,div[3]/div/div[5]/ul/li[3]/a,href,div[3]/div/div[5],div[3]/div/div[5]/ul/li[3],/a,https://myaccount.books.com.tw/myaccount/myaccount/memberReadMileage?loc=activity_home_003
202207142000,div[3]/div/div[5]/ul/li[3]/a,text,div[3]/div/div[5],div[3]/div/div[5]/ul/li[3],/a,
202207142000,div[3]/div/div[5]/ul/li[3]/a/img,alt,div[3]/div/div[5],div[3]/div/div[5]/ul/li[3],/a/img,每日簽到
202207142000,div[3]/div/div[5]/ul/li[3]/a/img,src,div[3]/div/div[5],div[3]/div/div[5]/ul/li[3],/a/img,https://im1.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/ADbanner/marketing/2021/09/gbt/getImage_08.jpg&v=61385b2fk&w=&h=
202207142000,div[3]/div/div[5]/ul/li[3]/a/img,title,div[3]/div/div[5],div[3]/div/div[5]/ul/li[3],/a/img,
202207142000,div[3]/div/div[5]/ul/li[4]/a,href,div[3]/div/div[5],div[3]/div/div[5]/ul/li[4],/a,https://www.books.com.tw/web/giftcard/?loc=activity_GC_001
202207142000,div[3]/div/div[5]/ul/li[4]/a,text,div[3]/div/div[5],div[3]/div/div[5]/ul/li[4],/a,
